Designator,Footprint,Quantity,Value,LCSC Part #,
"C1, C12, C2, C3, C4, C5, C6, C7, C8, C9",402,10,100n,C77014,
"C10, C11, C15",402,3,1u,C77009,
"C13, C14",805,2,10u,C77075,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D7, D8, D9",D_SOD-123,63,D,C83528,
"D64, D65, D66, D67, D68, D69, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,16,WS2812B,C2761795,
F1,1206,1,Polyfuse_Small,C70076,
J3,1X04_1MM_RA,1,QWIIC_CONNECTORJS-1MM,C160404,
K1 - K73,MXOnly-1U-Hotswap,73,,C5156480,Kailh: CPG151101S11
"R1, R2",402,2,27,C227342,
R3,402,1,1k,C375497,
"R4, R5",402,2,2.2k,C326602,
"R6, R7",402,2,5.1k,C138073,
SW1,SW_SPST_TL3342,1,SW_Push,C2886894,
U1,RP2040-QFN-56,1,RP2040,C2040,
U2,PSON50P300X200X60-9N,1,W25Q128JVS,C2843335,
U3,ECMF02-4CMX8,1,ECMF02-4CMX8,C717678,
U4,SOT-23,1,XC6206PxxxMR,C347376,
USB1,HRO-TYPE-C-31-M-12-Assembly,1,HRO-TYPE-C-31-M-12,C165948,
Y1,3 Pin Resonator,1,Resonator,C341520,